epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.9764,0.34947,1.32634,1.05753,0.98436,0.72222,0.72557,0.64753,0.68301,2.62224,0.86238,0.000654321,0.000654321,0.000654321
2,51.9833,0.24255,0.68635,0.95374,0.97463,0.7113,0.75695,0.68321,0.75695,1.62247,0.86459,0.0012556,0.0012556,0.0012556
3,76.7948,0.26894,0.6059,0.95533,0.96613,0.79239,0.87812,0.64908,0.89266,1.30302,1.12771,0.00179088,0.00179088,0.00179088
4,100.122,0.2436,0.51268,0.94258,0.8291,0.81481,0.75126,0.63729,0.66173,1.41389,0.7546,0.001703,0.001703,0.001703
5,125.479,0.22293,0.44876,0.9358,0.98842,0.79063,0.84037,0.77446,0.65382,0.96315,0.66744,0.001604,0.001604,0.001604
6,149.281,0.20254,0.39711,0.92807,0.9609,0.79635,0.8786,0.78007,0.71994,0.76694,0.65699,0.001505,0.001505,0.001505
7,173.782,0.20061,0.37432,0.92136,0.94621,0.81433,0.85957,0.77959,0.74285,0.64326,0.63239,0.001406,0.001406,0.001406
8,198.622,0.1795,0.32772,0.91901,0.96389,0.85648,0.90881,0.81997,0.57774,0.62044,0.56228,0.001307,0.001307,0.001307
9,221.976,0.17086,0.30469,0.92122,0.94052,0.87841,0.9239,0.82288,0.66763,0.73973,0.64058,0.001208,0.001208,0.001208
10,247.193,0.16182,0.29591,0.92263,0.98451,0.88291,0.92615,0.82734,0.52511,0.5095,0.50743,0.001109,0.001109,0.001109
11,273.514,0.18418,0.30117,0.9298,0.97201,0.85648,0.89595,0.80553,0.593,0.58794,0.50742,0.00101,0.00101,0.00101
12,295.567,0.16023,0.24115,0.92138,0.99325,0.88889,0.93148,0.81582,0.54507,0.42873,0.49577,0.000911,0.000911,0.000911
13,318.577,0.15426,0.19368,0.91076,0.98183,0.87963,0.91537,0.82648,0.50115,0.39115,0.5124,0.000812,0.000812,0.000812
14,340.965,0.13508,0.17222,0.91074,0.94316,0.92188,0.94139,0.84328,0.50498,0.42241,0.52271,0.000713,0.000713,0.000713
15,363.722,0.12664,0.15563,0.90739,0.97969,0.89323,0.9349,0.84597,0.49501,0.39449,0.53032,0.000614,0.000614,0.000614
16,386.64,0.11947,0.15497,0.89051,0.97112,0.93395,0.94583,0.8544,0.46013,0.41865,0.50289,0.000515,0.000515,0.000515
17,408.619,0.11676,0.13472,0.89869,0.97085,0.92501,0.94172,0.85148,0.46997,0.43463,0.50554,0.000416,0.000416,0.000416
18,431.305,0.10659,0.11969,0.90571,0.98034,0.92343,0.9413,0.86694,0.45982,0.39104,0.50878,0.000317,0.000317,0.000317
19,453.062,0.10379,0.11807,0.89575,0.96659,0.93768,0.95528,0.87051,0.42861,0.38204,0.50502,0.000218,0.000218,0.000218
20,477.1,0.09642,0.1166,0.8966,0.99507,0.93386,0.96566,0.87525,0.39212,0.34593,0.48203,0.000119,0.000119,0.000119
